SMILES,LogD {measured},UNIT {LogD},pH,UNIT {pH},Temperature,UNIT {Temperature},logPow Method,logPow Buffer,Ionic strength,UNIT {Ionic strength},Species,Test duration,Material Nanoparticles of Elements,APS,UNIT {APS},Explosure concentration,UNIT {Explosure concentration},Crystal structure of nanoparticles,Ionisable
NC(N)=NC1=NC(CSCC\C(N)=N\S(N)(=O)=O)=CS1,-0.62,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,0.5,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
OC(=O)C1=C(NC2=CC=CC(=C2)C(F)(F)F)C=CC=C1,2.45,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCOC(=O)C1=C2CN(C)C(=O)C3=C(C=CC(F)=C3)N2C=N1,1.21,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@@H]1CCC2=CC(F)=CC3=C2N1C=C(C(O)=O)C3=O,0.65,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@@H]1CCC2=CC(F)=CC3=C2N1C=C(C(O)=O)C3=O,0.65,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@H]1C[C@@H]2[C@H]3C[C@@H](F)C4=CC(=O)C=C[C@@]4(C)[C@@H]3[C@H](O)C[C@@]2(C)[C@@H]1C(=O)CO,2.1,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@H]1C[C@@H]2[C@H]3C[C@@H](F)C4=CC(=O)C=C[C@@]4(C)[C@@H]3[C@H](O)C[C@@]2(C)[C@@H]1C(=O)CO,2.1,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@H](C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1,0.91,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(C)N1C(\C=C\[C@H](O)C[C@@H](O)CC(O)=O)=C(C2=C1C=CC=C2)C1=CC=C(F)C=C1,1.14,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
NS(=O)(=O)C1=CC(C(O)=O)=C(NCC2=CC=CO2)C=C1Cl,-0.24,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
NCC1(CC(O)=O)CCCCC1,-2,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC,2.18,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
NC(=N)N\N=C\C1=C(Cl)C=CC=C1Cl,1.4,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,3.18,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCCCCCCNC(=O)OC1=CC2=C(C=C1)N(C)[C@H]1N(C)CC[C@@]21C,0.17,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCCCCCCNC(=O)OC1=CC2=C(C=C1)N(C)[C@H]1N(C)CC[C@@]21C,0.17,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
[Br-].CC[N+]1=C2C=C(N)C=CC2=C2C=CC(N)=CC2=C1C1=CC=CC=C1,-1.1,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1,-0.18,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3[C@H](O)C[C@@]12C,2.19,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1C(F)(F)F,0.31,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1C(F)(F)F,0.31,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
OCCOCCN1CCN(CC1)[C@H](C1=CC=CC=C1)C1=CC=C(Cl)C=C1,3.13,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
OCCOCCN1CCN(CC1)[C@H](C1=CC=CC=C1)C1=CC=C(Cl)C=C1,3.13,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(C)CC1=CC=C(C=C1)[C@@H](C)C(O)=O,1.44,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
[O-][N+](=O)\N=C1\NCCN1CC1=CC=C(Cl)N=C1,0.33,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CN(C)CCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,2.17,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,0.68,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(=O)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=CN=C3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,3.83,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@@H](C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1,-0.11,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
OC(=O)[C@H]1CCN2C1=CC=C2C(=O)C1=CC=CC=C1,-0.27,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@H](CCC1=CC=CC=C1)NC[C@@H](O)C1=CC=C(O)C(=C1)C(N)=O,1.08,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(C)C[C@@H](N)C(O)=O,-1.77,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,1.72,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,2.39,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,2.39,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CN1C2=C(C=C(Cl)C=C2)C(=N[C@H](O)C1=O)C1=C(Cl)C=CC=C1,2.72,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1,3.28,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1,3.28,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O,0.12,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O,0.12,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
N[C@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O,-2,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CN1C=C2C[C@@H]3[C@H](C[C@@H](CNC(=O)OCC4=CC=CC=C4)CN3C)C3=C2C1=CC=C3,3.5,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CN1C=C2C[C@@H]3[C@H](C[C@@H](CNC(=O)OCC4=CC=CC=C4)CN3C)C3=C2C1=CC=C3,3.5,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CN(CC1=NC2=C(N=C1)N=C(N)N=C2N)C1=CC=C(C=C1)C(=O)N[C@H](CCC(O)=O)C(O)=O,-2.93,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@@H]1C[C@@H]2[C@H]3CC[C@](O)(C(=O)CO)[C@]3(C)C[C@@H](O)[C@H]2[C@@]2(C)C=CC(=O)C=C12,2.1,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CSC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.09,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2CC3=CN(C)C4=CC=CC(=C34)C2=C1,2.13,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2CC3=CN(C)C4=CC=CC(=C34)C2=C1,2.13,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(C)NC[C@@H](O)COC1=C(C)C(C)=C(OC(C)=O)C(C)=C1,0.55,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(C)NC[C@@H](O)COC1=C(C)C(C)=C(OC(C)=O)C(C)=C1,0.55,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,0.41,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,0.41,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@@H]1NC2=C(C=C(C(Cl)=C2)S(N)(=O)=O)C(=O)N1C1=C(C)C=CC=C1,4.1,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@@H]1NC2=C(C=C(C(Cl)=C2)S(N)(=O)=O)C(=O)N1C1=C(C)C=CC=C1,4.1,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
COCCC1=CC=C(OC[C@@H](O)CNC(C)C)C=C1,-0.24,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
COCCC1=CC=C(OC[C@@H](O)CNC(C)C)C=C1,-0.24,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC1=NC=C(N1CCO)[N+]([O-])=O,-0.02,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CN1CC[C@@]23[C@@H]4OC5=C(O)C=CC(C[C@H]1[C@H]2C=C[C@H]4O)=C35,-0.06,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CN1CC[C@@]23[C@@H]4OC5=C(O[C@@H]6O[C@@H]([C@@H](O)[C@@H](O)[C@H]6O)C(O)=O)C=CC(C[C@H]1[C@H]2C=C[C@H]4O)=C35,-1.12,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CN1CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@@H]2C=C[C@@H]4O[C@@H]1O[C@@H]([C@@H](O)[C@@H](O)[C@H]1O)C(O)=O)=C35,-0.79,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
[I-].[H]C1=C([H])C(=C([H])C([H])=C1N(C([H])([H])[H])C([H])([H])[H])C1=C([O+]=C(C([H])=C1[H])C([H])([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H],-1.12,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
[I-].COC1=CC2=C(C=CN=C2C=C1)[C@H](O)[C@H]1CC2CC[N+]1(C)C[C@@H]2C=C,-1.31,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(C)(C)NC[C@@H](O)COC1=CC=CC2=C1C[C@H](O)[C@@H](O)C2,-1.43,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(C)(C)NC[C@@H](O)COC1=CC=CC2=C1C[C@H](O)[C@@H](O)C2,-1.43,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
OC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5CC=C,1.09,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
OC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5CC=C,1.09,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C1=CC2=C(C=C1)C=CC=C2,3.37,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,0.09,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CN1CCC[C@@H]1C1=CN=CC=C1,0.45,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CN1CCC[C@@H]1C1=CN=CC=C1,0.45,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
COC(=O)C1=C(C)NC(C)=C(C1C1=C(C=CC=C1)[N+]([O-])=O)C(=O)OC,3.17,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
OC(=O)C1=C(NC2=CC(=CC=C2)C(F)(F)F)N=CC=C1,1.43,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
O\N=C\C1=CC=C(O1)[N+]([O-])=O,1.28,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,2.38,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,2.38,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,3.5,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,3.5,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
[O-][N+](=O)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O,-0.26,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
[O-][N+](=O)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O,-0.26,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O,0.23,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CNC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,-3.62,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
COC1=CC=C2C[C@H]3NCC[C@@]45[C@@H](OC1=C24)[C@H](O)C=C[C@@H]35,-1.26,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
ClC1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,3.01,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
ClC1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,3.01,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1,-0.46,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1,-0.46,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
O[C@@H]1C=C[C@H]2[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3)[C@H]1O5,-1.56,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CNCCC=C1C2=C(CCC3=C1C=CC=C3)C=CC=C2,1.79,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O,-0.34,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O,-0.34,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C,2.15,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C,2.15,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(C)NC[C@@H](O)COC1=C(OCC=C)C=CC=C1,0.18,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(C)NC[C@@H](O)COC1=C(OCC=C)C=CC=C1,0.18,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
COC1=CC2=C(C=C1OC)C(CC1=CC(OC)=C(OC)C=C1)=NC=C2,2.89,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
COC1=CC2=C(C=C1OC)C(CC1=CC(OC)=C(OC)C=C1)=NC=C2,2.89,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(C)(C)NC[C@@H](O)COC1=C(C=CC=C1)C1CCCC1,2.06,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(C)(C)NC[C@@H](O)COC1=C(C=CC=C1)C1CCCC1,2.06,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC1(C)S[C@@H]2[C@H](NC(=O)COC3=CC=CC=C3)C(=O)N2[C@@H]1C(O)=O,-0.62,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,-0.19,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,-0.19,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C,0.33,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C,0.33,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@H](CC1=CC=C(F)C=C1)N(C)CC#C,2.7,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@H](CC1=CC=C(F)C=C1)N(C)CC#C,2.7,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
NC1=CC=C(\N=N\C2=CC=CC=C2)C(N)=N1,3.31,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,1.51,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
N[C@H](CC1=CC=CC=C1)C(O)=O,-1.37,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
N[C@H](CC1=CC=CC=C1)C(O)=O,-1.37,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,0.47,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,0.47,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,2.17,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
N[C@H](CC1=CC=CC=C1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O,-0.98,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
N[C@H](CC1=CC=CC=C1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O,-0.98,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
N[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O,-0.29,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
N[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O,-0.29,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(C)NC[C@@H](O)COC1=CC=CC2=C1C=CN2,-0.36,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(C)NC[C@@H](O)COC1=CC=CC2=C1C=CN2,-0.36,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=CC=CC=C2S1(=O)=O,0,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=CC=CC=C2S1(=O)=O,0,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
COC1=CC2=NC(=NC(N)=C2C=C1OC)N1CCN(CC1)C(=O)C1=CC=CO1,1.88,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@@]12C[C@@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]34C)[C@H]1CC[C@]2(O)C(=O)CO,1.83,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@@]12C[C@@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]34C)[C@H]1CC[C@]2(O)C(=O)CO,1.83,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@]12CC(=O)[C@@H]3[C@H](CCC4=CC(=O)C=C[C@@]34C)[C@H]1CC[C@]2(O)C(=O)CO,1.44,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@]12CC(=O)[C@@H]3[C@H](CCC4=CC(=O)C=C[C@@]34C)[C@H]1CC[C@]2(O)C(=O)CO,1.44,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
COC1=CC2=C(N=CC=C2)C(N[C@H](C)CCCN)=C1,1.17,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,-0.23,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCN(CC)CCNC(=O)C1=CC=C(N)C=C1,-0.36,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCN(CC)CCNC(=O)C1=CC=C(N)C=C1,-0.36,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,0.43,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(=O)[C@@H]1CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]12C,3.48,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@@H](CN1C2=C(SC3=C1C=CC=C3)C=CC=C2)N(C)C,2.44,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
[Br-].CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C12)C(C)C,-1.07,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1,2.6,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(C)NC[C@@H](O)COC1=CC=CC2=C1C=CC=C2,1.41,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(C)NC[C@@H](O)COC1=CC=CC2=C1C=CC=C2,1.41,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(C)N1C(=O)N=C(C2=CC=CC=C2)C2=C1C=C(C)C=C2,3.21,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC(C)N1C(=O)N=C(C2=CC=CC=C2)C2=C1C=C(C)C=C2,3.21,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCCCC[C@@H](O)\C=C/[C@@H]1[C@H](O)CC(=O)[C@H]1CCCCCCC(O)=O,0.78,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CCCCC[C@@H](O)\C=C/[C@@H]1[C@H](O)CC(=O)[C@H]1C\C=C/CCCC(O)=O,0.41,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@H](O)CN1C=NC2=C1C(=O)N(C)C(=O)N2C,-0.07,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
C[C@H](O)CN1C=NC2=C1C(=O)N(C)C(=O)N2C,-0.07,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC1=NC=C(CO)C(CO)=C1O,-0.51,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
CC1=NC=C(CO)C(CO)=C1O,-0.51,Log unit,7.4,Log unit,25,Log unit,,,0.15,Log unit,,,,,-,,-,,
