SMILES,LogD {measured},UNIT {LogD},pH,UNIT {pH},Temperature,UNIT {Temperature},logPow Method,logPow Buffer,Ionic strength,UNIT {Ionic strength},Species,Test duration,Material Nanoparticles of Elements,APS,UNIT {APS},Explosure concentration,UNIT {Explosure concentration},Crystal structure of nanoparticles,Ionisable
C([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])O[C@@]1([C@]([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])([H])O[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[H],-3,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-1.9,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN1CCC23C4OC5=C(O)C=CC(CC1C2C=CC4O)=C35,-0.44,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN1CCCC1C1=CC=CN=C1,-0.1,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
[H]O[C@]1(C([H])([H])C([H])([H])[H])C([H])([H])N2C([H])([H])[C@]([H])(C1([H])[H])C([H])([H])[C@@](C(=O)OC([H])([H])[H])(C1=C(C3=C([H])C([H])=C([H])C([H])=C3N1[H])C([H])([H])C2([H])[H])C1=C(OC([H])([H])[H])C([H])=C2N(C([H])=O)[C@]3([H])[C@@]4(C2=C1[H])C([H])([H])C([H])([H])N1C([H])([H])C([H])=C([H])[C@](C([H])([H])C([H])([H])[H])([C@@]41[H])[C@@]([H])(OC(=O)C([H])([H])[H])[C@]3(O[H])C(=O)OC([H])([H])[H],0.45,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O,0.9,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(=O)OC1=C(C=CC=C1)C(O)=O,-2.57,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(C)NCC(O)COC1=CC=CC=C1CC=C,1,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,-2.14,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(CSC3=NC(=O)C(=O)NN3C)=C(N2C1=O)C(O)=O)C1=CSC(N)=N1,-1.23,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CC=CC=C1)C2=O)C(O)=O,-1,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,1,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,1.89,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
O=C1OC2=C(C=CC=C2)C=C1,1.39,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.74,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
COC1=CC=C(C=C1)C1SC2=CC=CC=C2N(CCN(C)C)C(=O)C1OC(C)=O,2.22,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
NC(N)=NN=CC1=C(Cl)C=CC=C1Cl,1.67,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO,1.53,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN(C)CCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,2.52,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,0.07,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
OC(=O)C1=C\C(C=CC1=O)=N/NC1=CC(C(O)=O)=C(O)C=C1,-4.5,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,1.54,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
OC(=O)C1=C(O)C=CC=C1,-2.14,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
OC(=O)C1=C\C(C=CC1=O)=N\NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1,-0.13,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
