smiles,logP
Oc1ccc(Nc2ccccc2)cc1,2.82
Nc1ccc(O)cc1,0.04
Nc1cccc(O)c1,0.21
Oc1ccccc1-c1ccccc1,3.09
Cc1ccc(O)cc1C,2.23
c1ccc(-c2ccccn2)nc1,1.5
O=[N+]([O-])c1cccc(O)c1,2.0
O=[N+]([O-])c1ccccc1O,1.79
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,4.45
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,5.12
Oc1ccc(Cl)c(O)c1,1.8
CCCCCCc1ccc(O)cc1O,3.45
Oc1cccc(O)c1,0.8
Oc1cc(O)cc(O)c1,0.16
Oc1ccccc1O,0.88
NC(=O)N/N=C/c1ccccc1,1.27
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,4.22
CC(=O)Nc1ccc(C=O)cc1,1.25
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,3.32
Cc1cccc(C(=O)O)c1O,2.86
O=C(O)/C=C/C=C/c1ccccc1,3.15
Cc1ccccc1N(C)C,2.85
Cc1ccc(N(C)C)cc1,2.81
Cc1cccc(N(C)C)c1,2.8
CCOc1cc(C=O)ccc1O,1.58
CC(C)NC(C)C,1.4
CCOc1ccccc1O,1.68
N#CCCCc1ccccc1,2.21
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,5.17
Oc1ccc(-c2ccccc2)cc1,3.2
OCCOc1ccccc1,1.16
NC(=O)COc1ccccc1,0.76
CC(=O)COc1ccccc1,1.04
NC(=O)Cc1ccccc1,0.45
COc1cc([N+](=O)[O-])c2ncccc2c1,1.87
O=C(c1ccccc1)c1ccc(O)cc1,3.07
CC(C)c1ccc(O)cc1,2.9
Cc1cc(C)c(C)c(C)c1C,4.56
O=C(O)CS,0.09
CC(C)c1ccc(C(=O)O)cc1,3.4
CC1COC(=O)O1,-0.41
S=C1NCCN1,-0.66
CC(=O)C1CC1,0.49
O=c1cc(CO)occ1O,-0.64
OCC(O)C(O)C(O)C(O)CO,-3.1
c1ccc2[nH]ccc2c1,2.14
O=C1c2ccccc2Cc2ccccc21,3.66
O=C(O)c1ccccc1-c1ccccc1C(=O)O,2.07
NC(CC(=O)O)c1ccccc1,-1.4
Nc1cc2ccccc2c2ccccc12,3.56
O=C(c1ccccc1)N1CCCCC1,2.2
N#Cc1ccccc1[N+](=O)[O-],1.02
C=CCCCCCCCCC(=O)O,3.86
C/C(=C\c1ccccc1)[N+](=O)[O-],2.52
N=C(N)c1ccccc1,0.65
Nc1ccc(N=Nc2ccccc2)cc1,3.41
c1ccc2c(c1)Nc1ccccc1S2,4.15
Oc1cccc2cccnc12,1.85
CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O,6.46
Oc1ccc2ccccc2c1,2.7
ClC(Cl)=Nc1ccccc1,2.54
Cn1c(=O)c2[nH]cnc2n(C)c1=O,-0.02
O=C(O)/C=C/c1ccc([N+](=O)[O-])cc1,2.12
C=c1c(C)c(O)c(=C)c(C)c1O,2.23
C(=C/c1ccccc1)\c1ccccc1,4.81
O=C(O)COc1ccc2ccccc2c1,2.53
CCCCCCCN,2.57
O=Cc1ccc(Cl)cc1,2.1
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,2.12
Nc1ccc(C(=O)O)c(O)c1,0.89
CCN1CCCCC1,1.75
O=C(O)CCC(=O)c1ccccc1,1.3
Brc1ccc(-c2ccc(Br)cc2)cc1,5.72
c1ccc(/N=N/c2ccccc2)cc1,3.82
CC(C)OC(=O)Nc1ccccc1,2.6
O=C(O)Cc1ccc(C(=O)O)cc1,1.24
Nc1c(Cl)cc(Cl)cc1Cl,3.52
CC(N)=S,-0.26
NN,-2.07
Cc1cccc(C)c1O,2.36
O=Cc1ccc(O)cc1,1.35
COc1cc(C(=O)O)cc(OC)c1O,1.04
N=c1[nH]c(=N)[nH]c(=N)[nH]1,-1.37
CC(=O)Nc1ccc(N)cc1,0.08
Oc1c(Br)cc(Br)cc1Br,4.13
CC(=O)N(C)c1ccccc1,1.12
OCCc1ccccn1,0.12
COc1cccc(C=O)c1O,1.37
COc1ccc(CO)cc1,1.1
Cc1cccc(C)n1,1.68
CC(=O)Nc1ccc(I)cc1,2.71
Cc1ccc(C(N)=O)cc1,1.18
CC(O)C(C)O,-0.92
Oc1c(Cl)cc(Cl)cc1Cl,3.69
Cc1ccccc1C(N)=O,0.76
Cc1cccc(C(N)=O)c1,1.18
Cc1cccc(NC(N)=O)c1,1.29
O=C(O)c1ccccc1S,2.39
Cc1ccccc1S(N)(=O)=O,0.84
OCC(Br)(Br)Br,2.1
CCCCCCC(=O)O,2.42
Cc1ccccc1C(=O)O,2.46
COCC(C)OC(C)=O,0.56
CCC(C)c1ccc(O)cc1,3.08
Cc1cccc(C(=O)O)c1,2.37
Cc1ccc(C(=O)O)cc1,2.27
COc1c(Br)cc(Br)cc1Br,4.48
CCCCCC(C)O,2.31
CNS(=O)(=O)c1ccc(C)cc1,1.28
C=C(C)c1cc(O)c(C)cc1O,2.2
Oc1cc(Cl)c(Cl)cc1Cl,3.72
CC(=O)NN,-1.58
O=C1CCCCN1,-0.46
Cc1cc(Cl)ccc1OCC(=O)O,3.25
Oc1ccc(O)n1-c1ccccc1,0.06
CC(=O)c1cccc(O)c1,1.39
CN1CCCCC1,1.3
O=[N+]([O-])/C=C/c1ccc(Cl)cc1,2.44
O=C(C(O)CO)C(O)C(O)CO,-1.88
S=C(Nc1ccccc1)c1ccccc1,3.03
C=CCC#N,0.4
