logP,smiles,Temperature,pH
4.15,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,20.0,3.0
4.15,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,30.0,3.0
4.15,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,37.0,2.4
2.39,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,30.0,3.0
5.77,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,25.0,4.5
4.45,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,25.0,5.1
-0.62,Nc1ccc(S(N)(=O)=O)cc1,20.0,5.9
-0.62,Nc1ccc(S(N)(=O)=O)cc1,25.0,7.1
-0.62,Nc1ccc(S(N)(=O)=O)cc1,37.0,4.9
-0.62,Nc1ccc(S(N)(=O)=O)cc1,37.0,5.9
-0.62,Nc1ccc(S(N)(=O)=O)cc1,37.0,7.5
-0.62,Nc1ccc(S(N)(=O)=O)cc1,37.0,7.1
-0.62,Nc1ccc(S(N)(=O)=O)cc1,37.0,7.4
-0.24,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,15.0,6.5
-0.24,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,25.0,6.5
-0.24,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,37.0,6.5
-0.07,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,15.0,6.5
-0.07,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,25.0,6.5
-0.07,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,37.0,6.5
-2.0,NCCc1ccc(O)c(O)c1,20.0,7.4
1.82,CCN=c1nc(OC)[nH]c(=NCC)[nH]1,26.0,7.0
1.82,CCN=c1nc(OC)[nH]c(=NCC)[nH]1,26.0,3.0
1.82,CCN=c1nc(C)[nH]c(=NCC)[nH]1,21.0,3.0
2.54,CCN=c1nc(SC)[nH]c(=NCC)[nH]1,26.0,3.0
1.56,N#Cc1ccc(C(=O)O)cc1,25.0,1.0
1.66,O=C(O)c1cccc(C(=O)O)c1,25.0,1.0
2.0,O=C(O)c1ccc(C(=O)O)cc1,25.0,1.0
2.99,COc1ccc(C(=O)O)c(O)c1,25.0,1.0
2.78,COc1ccc(O)c(C(=O)O)c1,25.0,1.0
2.1,NS(=O)(=O)c1nc2ccc(Cl)cc2s1,37.0,7.2
2.4,O=C(O)c1ccccc1I,15.0,2.7
0.02,O=C(OCCCl)n1cc(F)c(=O)[nH]c1=O,22.0,4.0
1.33,NS(=O)(=O)c1nc2ccccc2s1,37.0,7.2
1.13,NS(=O)(=O)c1nc2ccc(O)cc2s1,37.0,7.2
2.13,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,20.0,7.0
1.87,O=C(O)c1ccccc1,20.0,5.0
1.87,O=C(O)c1ccccc1,22.0,3.0
1.87,O=C(O)c1ccccc1,20.0,3.0
1.87,O=C(O)c1ccccc1,20.0,4.0
1.87,O=C(O)c1ccccc1,20.0,6.0
1.87,O=C(O)c1ccccc1,25.0,6.8
1.87,O=C(O)c1ccccc1,25.0,5.0
1.87,O=C(O)c1ccccc1,25.0,7.4
2.26,O=C(O)c1ccccc1O,22.0,5.0
2.26,O=C(O)c1ccccc1O,22.0,1.2
2.26,O=C(O)c1ccccc1O,21.0,2.0
-0.85,Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,37.0,1.3
-0.85,Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,37.0,7.2
0.19,CCC(=O)n1c(=O)[nH]cc(F)c1=O,22.0,4.0
0.11,CCOC(=O)n1c(=O)[nH]cc(F)c1=O,22.0,5.0
-0.67,CC(=O)OCn1cc(F)c(=O)[nH]c1=O,22.0,4.0
-0.42,CC(=O)OCn1c(=O)[nH]cc(F)c1=O,22.0,4.0
-0.17,CCOC(=O)n1cc(F)c(=O)[nH]c1=O,22.0,4.0
0.91,NS(=O)(=O)c1cc2c(s1)C(=O)CCS2,25.0,7.4
0.74,NS(=O)(=O)c1cc2c(s1)SCCC2=O,25.0,7.4
-0.04,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2=O,25.0,7.4
-0.2,NS(=O)(=O)c1cc2c(s1)C(=O)CCS2(=O)=O,25.0,7.4
1.92,CNS(=O)(=O)c1ccc(Cl)cc1,35.0,7.2
-0.07,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,25.0,4.56
-0.07,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,25.0,2.0
-0.07,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,25.0,6.0
-0.07,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,25.0,8.0
-0.07,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,25.0,9.08
-0.07,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,25.0,3.0
-0.07,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,25.0,8.55
-0.07,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,25.0,4.0
-0.37,CN(C)C(=O)n1cc(F)c(=O)[nH]c1=O,22.0,4.0
0.35,CCNC(=O)n1cc(F)c(=O)[nH]c1=O,22.0,4.0
-0.02,Cn1c(=O)c2[nH]cnc2n(C)c1=O,37.0,7.4
-0.02,Cn1c(=O)c2[nH]cnc2n(C)c1=O,37.0,4.5
0.48,NS(=O)(=O)c1cc2c(s1)C(O)CCS2,25.0,7.4
0.68,NS(=O)(=O)c1cc2c(s1)SCCC2O,25.0,7.4
-0.44,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CC(O)C2,25.0,7.4
-0.59,NS(=O)(=O)c1cc2c(s1)C(O)CCS2(=O)=O,25.0,7.4
-0.7,NS(=O)(=O)c1cc2c(s1)CC(O)CS2(=O)=O,25.0,7.4
2.18,CCN=c1nc(Cl)[nH]c(=NCC)[nH]1,26.0,7.0
2.18,CCN=c1nc(Cl)[nH]c(=NCC)[nH]1,26.0,3.0
1.15,O=C1NC(=O)c2ccccc21,25.0,5.4053
1.48,N#Cc1cccc(C(=O)O)c1,25.0,1.0
2.81,O=C(O)COc1ccc(Cl)cc1Cl,25.0,1.0
-0.47,O=c1[nH]c(O)cn1/N=C/c1ccc([N+](=O)[O-])o1,37.0,7.2
-0.47,O=c1[nH]c(O)cn1/N=C/c1ccc([N+](=O)[O-])o1,25.0,7.0
-0.47,O=c1[nH]c(O)cn1/N=C/c1ccc([N+](=O)[O-])o1,22.0,1.2
-0.47,O=c1[nH]c(O)cn1/N=C/c1ccc([N+](=O)[O-])o1,25.0,6.5
-0.47,O=c1[nH]c(O)cn1/N=C/c1ccc([N+](=O)[O-])o1,37.0,5.0
-0.47,O=c1[nH]c(O)cn1/N=C/c1ccc([N+](=O)[O-])o1,37.0,4.8
2.36,COC(=O)c1ccccc1O,21.0,7.4
1.43,COc1cc(C(=O)O)ccc1O,14.0,3.3
-0.96,CC(=O)NS(=O)(=O)c1ccc(N)cc1,37.0,5.9
-0.96,CC(=O)NS(=O)(=O)c1ccc(N)cc1,37.0,6.6
-0.96,CC(=O)NS(=O)(=O)c1ccc(N)cc1,37.0,7.0
-0.04,CC(=O)Nc1ccc(S(N)(=O)=O)cc1,20.0,4.9
-0.96,CC(=O)NS(=O)(=O)c1ccc(N)cc1,37.0,4.8
-0.96,CC(=O)NS(=O)(=O)c1ccc(N)cc1,37.0,5.6
-0.96,CC(=O)NS(=O)(=O)c1ccc(N)cc1,37.0,5.3
-0.96,CC(=O)NS(=O)(=O)c1ccc(N)cc1,37.0,4.5
-0.96,CC(=O)NS(=O)(=O)c1ccc(N)cc1,20.0,4.9
-2.12,NCCc1ccc(O)cc1,15.0,10.0
1.28,CNS(=O)(=O)c1ccc(C)cc1,22.0,7.4
-1.56,N=c1[nH]c(=O)c2ncn(COCCO)c2[nH]1,37.0,7.4
0.65,CCC1(CC)C(=O)NC(=O)NC1=O,33.0,7.9
0.65,CCC1(CC)C(=O)NC(=O)NC1=O,30.0,7.02
0.65,CCC1(CC)C(=O)NC(=O)NC1=O,30.0,6.91
0.65,CCC1(CC)C(=O)NC(=O)NC1=O,30.0,6.82
0.65,CCC1(CC)C(=O)NC(=O)NC1=O,30.0,7.08
0.65,CCC1(CC)C(=O)NC(=O)NC1=O,30.0,6.42
0.65,CCC1(CC)C(=O)NC(=O)NC1=O,30.0,6.78
0.65,CCC1(CC)C(=O)NC(=O)NC1=O,30.0,6.24
0.65,CCC1(CC)C(=O)NC(=O)NC1=O,30.0,6.04
0.65,CCC1(CC)C(=O)NC(=O)NC1=O,25.0,7.43
0.65,CCC1(CC)C(=O)NC(=O)NC1=O,33.0,4.9
0.65,CCC1(CC)C(=O)NC(=O)NC1=O,25.0,7.9
0.65,CCC1(CC)C(=O)NC(=O)NC1=O,30.0,6.66
-0.56,N=C(N)N=c1[nH]c(CSCCC(=N)NS(N)(=O)=O)cs1,25.0,6.48
-0.56,N=C(N)N=c1[nH]c(CSCCC(=N)NS(N)(=O)=O)cs1,25.0,9.06
-0.56,N=C(N)N=c1[nH]c(CSCCC(=N)NS(N)(=O)=O)cs1,25.0,6.09
-0.56,N=C(N)N=c1[nH]c(CSCCC(=N)NS(N)(=O)=O)cs1,25.0,7.83
-0.56,N=C(N)N=c1[nH]c(CSCCC(=N)NS(N)(=O)=O)cs1,25.0,7.54
-0.56,N=C(N)N=c1[nH]c(CSCCC(=N)NS(N)(=O)=O)cs1,25.0,8.71
