smiles,logP,pH,Temperature
NC(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,-1.68,7.0,25.0
NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,-1.87,7.0,25.0
CC(NC(=O)C(NC(=O)C([NH3+])Cc1ccccc1)C(C)C)C(=O)[O-],-2.19,7.0,25.0
CCC(C)C(NC(=O)C(NC(=O)C([NH3+])CC(C)C)C(C)CC)C(=O)[O-],-1.11,7.0,25.0
CC(C)CC(N)C(=O)NC(C(=O)NC(CC(C)C)C(=O)O)C(C)C,-1.57,7.0,25.0
CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O,-0.94,7.0,25.0
CC(C)CC([NH3+])C(=O)NC(C=O)C(=O)NC(CC(C)C)C([O-])O,-2.35,7.0,25.0
CCC(C)C([NH3+])C(=O)NC(C=O)C(=O)NC(CC(C)C)C([O-])O,-2.28,7.0,25.0
CCC(C)C([NH3+])C(=O)NC(C=O)C(=O)NC(C([O-])O)C(C)CC,-2.64,7.0,25.0
CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C([NH3+])C=O)C([O-])O,-1.99,7.0,25.0
CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C([NH3+])CO)C(=O)[O-],-2.03,7.0,25.0
CCC(C)C(NC(=O)C([NH3+])CC(C)C)C(=O)NC(C(=O)[O-])C(C)O,-2.14,7.0,25.0
CCC(C)C(NC(=O)C(NC(=O)C([NH3+])CC(C)C)C(C)=O)C([O-])O,-2.3,7.0,25.0
CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C([NH3+])C(C)=O)C([O-])O,-1.66,7.0,25.0
CC(=O)C(N)C(=O)NC(C(=O)NC(CC(C)C)C(O)O)C(C)C,-1.97,7.0,25.0
CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C1CCC[NH2+]1)C(=O)[O-],-1.64,7.0,25.0
CC(C)CC([NH3+])C(=O)N1CCCC1C(=O)NC(CC(C)C)C(=O)[O-],-1.56,7.0,25.0
CC(C)CC([NH3+])C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)[O-],-1.58,7.0,25.0
CCC(C)C(N)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)CC,-1.65,7.0,25.0
[NH3+]C(Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(=O)[O-],0.54,7.0,25.0
Cl.NCCCCC(N)C(=O)NC(Cc1ccccc1)C(=O)O,0.12,13.0,25.0
NCC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1c[nH]cn1)C(=O)O,-0.92,10.0,25.0
CC(C)CC(N)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)O,0.16,2.0,25.0
CCC(C)C(N)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)O,-0.04,2.0,25.0
NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,-0.27,7.0,25.0
NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,-1.13,7.0,25.0
NCC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,-1.33,7.0,25.0
CC(C)CC(NC(=O)C([NH3+])Cc1ccc(O)cc1)C(=O)NC(C(=O)[O-])C(C)C,-1.45,7.0,25.0
