,logP,smiles,Temperature,pH
4894,1.83,[H][c]1[c]([H])[c]([N]([H])[C](=[O])[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[N]=[C]([C]#[N])[C]#[N],25.0,5.0
4910,0.82,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[c]([Cl])[c]([H])[c]1[H],37.0,7.0
4944,0.35,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[c]([H])[c]([H])[c]1[H],37.0,7.81
4945,0.35,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[c]([H])[c]([H])[c]1[H],37.0,7.25
4946,0.35,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[c]([H])[c]([H])[c]1[H],37.0,5.1
4950,1.73,[H][c]1[c]([N]([H])[H])[n][c]([N]([H])[H])[c](/[N]=[N]/[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]1[H],25.0,4.46
4951,1.73,[H][c]1[c]([N]([H])[H])[n][c]([N]([H])[H])[c](/[N]=[N]/[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]1[H],25.0,4.78
4953,1.73,[H][c]1[c]([N]([H])[H])[n][c]([N]([H])[H])[c](/[N]=[N]/[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]1[H],25.0,4.4
4956,1.73,[H][c]1[c]([N]([H])[H])[n][c]([N]([H])[H])[c](/[N]=[N]/[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]1[H],25.0,5.37
4969,0.38,[H][c]1[c]([H])[c]([H])[c](-[n]2[c](=[O])[c]([H])[c]([C]([H])([H])[H])[n]2[C]([H])([H])[H])[c]([H])[c]1[H],25.0,7.4
4981,1.34,[H][c]1[c]([H])[c]([H])[c]([C]2([C]([H])([H])[C]([H])([H])[H])[C](=[O])[N]([H])[C](=[O])[N]2[H])[c]([H])[c]1[H],37.0,7.0
4994,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,5.5
4995,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,7.5
4996,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,6.5
5002,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],25.0,4.58
5003,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],30.0,4.58
5004,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],35.0,4.58
5005,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],40.0,4.58
5007,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],25.0,5.5
5008,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],25.0,7.0
5011,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,5.24
5012,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,5.41
5013,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,6.27
5014,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,6.41
5015,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,6.95
5016,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,7.07
5017,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,7.3
5018,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,7.57
5020,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,6.0
5021,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,4.9
5022,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,5.9
5026,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,6.4
5027,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,6.8
5028,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,7.2
5029,0.14,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([C]([H])([H])[H])[c]1[H],37.0,7.6
5035,0.41,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([H])[c]1[O][C]([H])([H])[H],37.0,6.62
5037,0.32,[H][c]1[c]([O][C]([H])([H])[H])[n][n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[c]1[H],37.0,6.2
5041,0.41,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([H])[c]1[O][C]([H])([H])[H],37.0,8.48
5042,0.41,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([H])[c]1[O][C]([H])([H])[H],37.0,8.07
5043,0.41,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([H])[c]1[O][C]([H])([H])[H],37.0,7.67
5044,0.41,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([H])[c]1[O][C]([H])([H])[H],37.0,8.88
5046,0.41,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([H])[c]1[O][C]([H])([H])[H],37.0,7.22
5047,0.41,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([H])[c]1[O][C]([H])([H])[H],37.0,6.96
5048,0.32,[H][c]1[c]([O][C]([H])([H])[H])[n][n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[c]1[H],37.0,7.0
5051,0.32,[H][c]1[c]([O][C]([H])([H])[H])[n][n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[c]1[H],37.0,6.5
5052,0.32,[H][c]1[c]([O][C]([H])([H])[H])[n][n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[c]1[H],37.0,4.5
5055,0.32,[H][c]1[c]([O][C]([H])([H])[H])[n][n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[c]1[H],37.0,4.8
5056,0.32,[H][c]1[c]([O][C]([H])([H])[H])[n][n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[c]1[H],37.0,5.4
5057,0.32,[H][c]1[c]([O][C]([H])([H])[H])[n][n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[c]1[H],37.0,5.9
5059,0.32,[H][c]1[c]([O][C]([H])([H])[H])[n][n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[c]1[H],37.0,5.0
5061,0.41,[H][c]1[n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][c]([H])[c]1[O][C]([H])([H])[H],37.0,5.37
5065,0.32,[H][c]1[c]([O][C]([H])([H])[H])[n][n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[c]1[H],37.0,6.0
5086,2.02,[H][c]1[c]([N]([H])[C](=[O])[C]([H])([H])[H])[c]([C]([H])([H])[H])[c]([H])[c]([C]([H])([H])[H])[c]1[N]([H])[S](=[O])(=[O])[C]([F])([F])[F],22.0,4.0515
5093,1.21,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[C](=[O])[O][C]([H])([H])[C](=[O])[N]([C]([H])([H])[H])[C]([H])([H])[H],21.0,7.4
5102,1.01,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[o][n][c]([C]([H])([H])[H])[c]2[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],25.0,1.17
5106,1.01,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[o][n][c]([C]([H])([H])[H])[c]2[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,3.3
5108,0.48,[H][c]1[c]([H])[c]([S](=[O])(=[O])/[N]=[c]2\[c]([H])[c]([C]([H])([H])[H])[o][n]2[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.0
5109,0.59,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][c]([C]([H])([H])[H])[c]([C]([H])([H])[H])[o]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.98
5110,1.76,[H][c]1[c]([N]([C]([H])([H])[H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]2[H])[n][o][c]1[C]([H])([H])[H],37.0,7.0
5111,0.59,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][c]([C]([H])([H])[H])[c]([C]([H])([H])[H])[o]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,4.96
5112,0.59,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][c]([C]([H])([H])[H])[c]([C]([H])([H])[H])[o]2)[c]([H])[c]([H])[c]1[N]([H])[H],47.0,1.3
5114,0.59,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][c]([C]([H])([H])[H])[c]([C]([H])([H])[H])[o]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.76
5115,1.01,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[o][n][c]([C]([H])([H])[H])[c]2[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.0
5116,1.01,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[o][n][c]([C]([H])([H])[H])[c]2[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],25.0,6.0
5117,1.01,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[o][n][c]([C]([H])([H])[H])[c]2[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.8
5118,1.01,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[o][n][c]([C]([H])([H])[H])[c]2[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.4
5119,1.01,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[o][n][c]([C]([H])([H])[H])[c]2[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],25.0,5.0
5120,1.01,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[o][n][c]([C]([H])([H])[H])[c]2[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,4.5
5121,1.01,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[o][n][c]([C]([H])([H])[H])[c]2[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.0
5122,1.01,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[o][n][c]([C]([H])([H])[H])[c]2[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,7.2
5123,1.01,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[o][n][c]([C]([H])([H])[H])[c]2[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.5
5126,1.01,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[o][n][c]([C]([H])([H])[H])[c]2[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.9
5129,1.01,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[o][n][c]([C]([H])([H])[H])[c]2[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.3
5140,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.34
5141,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,4.72
5142,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,4.63
5143,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.14
5147,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.89
5148,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,3.85
5149,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,4.61
5150,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,4.02
5152,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.57
5153,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.39
5154,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.23
5155,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.5
5156,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.79
5157,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.54
5158,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.95
5159,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.55
5160,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.63
5161,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.87
5162,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,3.44
5163,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.58
5164,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,4.09
5165,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.31
5166,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.55
5167,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.46
5168,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.45
5169,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.98
5170,0.54,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[c]2[n][n][c]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[s]2)[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.38
5179,3.97,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[H],22.0,3.0
5206,2.04,[H][c]1[c]([F])[c](=[O])[n]([H])[c](=[O])[n]1[C](=[O])[O][C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],22.0,4.0
5212,2.87,[H][c]1[c]([H])[c]([N]([H])[H])[c]([H])[c]([H])[c]1[C](=[O])[O][C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],37.0,7.4
5243,1.9,[H][c]1[c]([H])[c]([N]([C]([H])([H])[H])[C]([H])([H])[H])[c]([C]([H])([H])[H])[c]([H])[c]1[O][C](=[O])[N]([H])[C]([H])([H])[H],20.0,9.0
5246,1.57,[H]/[C](=[C](/[C]([H])([H])[H])[C]1([C]([H])([H])[C]([H])([H])[H])[C](=[O])[N]([H])[C](=[O])[N]([H])[C]1=[O])[C]([H])([H])[C]([H])([H])[H],25.0,5.0
5250,1.47,[H][C]([H])=[C]([H])[C]([H])([H])[C]1([C]([H])([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H])[C](=[O])[N]([H])[C](=[O])[N]([H])[C]1=[O],25.0,7.4
5251,1.57,[H]/[C](=[C](/[C]([H])([H])[H])[C]1([C]([H])([H])[C]([H])([H])[H])[C](=[O])[N]([H])[C](=[O])[N]([H])[C]1=[O])[C]([H])([H])[C]([H])([H])[H],25.0,7.9
5254,1.57,[H]/[C](=[C](/[C]([H])([H])[H])[C]1([C]([H])([H])[C]([H])([H])[H])[C](=[O])[N]([H])[C](=[O])[N]([H])[C]1=[O])[C]([H])([H])[C]([H])([H])[H],33.0,5.0
5255,1.57,[H]/[C](=[C](/[C]([H])([H])[H])[C]1([C]([H])([H])[C]([H])([H])[H])[C](=[O])[N]([H])[C](=[O])[N]([H])[C]1=[O])[C]([H])([H])[C]([H])([H])[H],33.0,7.9
5257,1.96,[H][c]1[c]([H])[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[H],37.0,5.09
5259,1.96,[H][c]1[c]([H])[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[H],37.0,3.12
5260,1.96,[H][c]1[c]([H])[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[H],37.0,6.02
5261,1.96,[H][c]1[c]([H])[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[H],37.0,6.63
5262,1.96,[H][c]1[c]([H])[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[H],37.0,5.76
5263,1.96,[H][c]1[c]([H])[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[H],37.0,4.31
5264,1.96,[H][c]1[c]([H])[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[H],37.0,6.36
5265,1.96,[H][c]1[c]([H])[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[H],37.0,6.4
5266,1.96,[H][c]1[c]([H])[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[H],37.0,6.49
5267,1.96,[H][c]1[c]([H])[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[H],37.0,5.67
5268,1.96,[H][c]1[c]([H])[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[H],37.0,3.91
5271,1.37,[H][C]([H])=[C]([H])[C]([H])([H])[C]([C](=[O])[O][C]([H])([H])[H])([C](=[O])[N]([H])[C](=[O])[N]([H])[H])[C]([H])([H])[C]([H])=[C]([H])[H],23.0,3.5
5273,1.01,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],39.0,7.45
5275,1.01,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],39.0,7.0
