,logP,smiles,Temperature,pH
1701,3.36,[H][O][C]1([c]2[c]([H])[c]([H])[c]([Cl])[c]([H])[c]2[H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[C]([H])([H])[C](=[O])[c]2[c]([H])[c]([H])[c]([F])[c]([H])[c]2[H])[C]([H])([H])[C]1([H])[H],37.0,7.34
1702,3.36,[H][O][C]1([c]2[c]([H])[c]([H])[c]([Cl])[c]([H])[c]2[H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[C]([H])([H])[C](=[O])[c]2[c]([H])[c]([H])[c]([F])[c]([H])[c]2[H])[C]([H])([H])[C]1([H])[H],37.0,7.28
1703,3.36,[H][O][C]1([c]2[c]([H])[c]([H])[c]([Cl])[c]([H])[c]2[H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[C]([H])([H])[C](=[O])[c]2[c]([H])[c]([H])[c]([F])[c]([H])[c]2[H])[C]([H])([H])[C]1([H])[H],37.0,7.15
1704,3.36,[H][O][C]1([c]2[c]([H])[c]([H])[c]([Cl])[c]([H])[c]2[H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[C]([H])([H])[C](=[O])[c]2[c]([H])[c]([H])[c]([F])[c]([H])[c]2[H])[C]([H])([H])[C]1([H])[H],37.0,6.0
1705,3.36,[H][O][C]1([c]2[c]([H])[c]([H])[c]([Cl])[c]([H])[c]2[H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[C]([H])([H])[C](=[O])[c]2[c]([H])[c]([H])[c]([F])[c]([H])[c]2[H])[C]([H])([H])[C]1([H])[H],37.0,5.65
1706,3.36,[H][O][C]1([c]2[c]([H])[c]([H])[c]([Cl])[c]([H])[c]2[H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[C]([H])([H])[C](=[O])[c]2[c]([H])[c]([H])[c]([F])[c]([H])[c]2[H])[C]([H])([H])[C]1([H])[H],37.0,5.29
1707,3.36,[H][O][C]1([c]2[c]([H])[c]([H])[c]([Cl])[c]([H])[c]2[H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[C]([H])([H])[C](=[O])[c]2[c]([H])[c]([H])[c]([F])[c]([H])[c]2[H])[C]([H])([H])[C]1([H])[H],37.0,5.11
1708,3.36,[H][O][C]1([c]2[c]([H])[c]([H])[c]([Cl])[c]([H])[c]2[H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[C]([H])([H])[C](=[O])[c]2[c]([H])[c]([H])[c]([F])[c]([H])[c]2[H])[C]([H])([H])[C]1([H])[H],37.0,4.98
1711,4.3,[H][O][C]1([c]2[c]([H])[c]([H])[c]([Cl])[c]([H])[c]2[H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[C]([H])([H])[C](=[O])[c]2[c]([H])[c]([H])[c]([F])[c]([H])[c]2[H])[C]([H])([H])[C]1([H])[H],37.0,6.5
1737,4.37,[H][c]1[c]([H])[c]([H])[c]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[C]2([H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],25.0,7.4
1738,4.37,[H][c]1[c]([H])[c]([H])[c]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[C]2([H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],35.0,12.47
1739,4.37,[H][c]1[c]([H])[c]([H])[c]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[C]2([H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],35.0,9.8
