,smiles,logP,pH,Temperature
66509,CC(C)C(NC(=O)CN)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-1.96,7.0,25.0
66510,CC(C)CC(NC(=O)C(N)CC1=CC=C(O)C=C1)C(O)=O,0.32,7.0,25.0
66511,CC(C)C(NC(=O)C(N)CC1=CNC2=CC=CC=C12)C(O)=O,0.73,7.0,25.0
66512,CSCCC(N)C(O)=NC(CC1=CC=CC=C1)C(O)=O,0.42,7.0,25.0
66513,NC(CCC(=O)NC(CC1=CC=CC=C1)C(O)=O)C(O)=O,-1.14,7.0,25.0
66514,NC(CC1=CC=CC=C1)C(=O)NC(CCC(N)=O)C(O)=O,-1.03,7.0,25.0
66515,NCCCC[C@H](N)C(O)=O.N[C@@H](CC1=CC=CC=C1)C(O)=O,0.14,13.0,25.0
66516,CSCCC(NC(=O)C(C)N)C(=O)NC(C(C)C)C(O)=O,-0.63,7.0,25.0
73937,N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,-0.47,7.0,25.0
73938,N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,-1.68,7.0,25.0
73939,N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,-1.87,7.0,25.0
73940,CC(C)C(NC(=O)C([NH3+])CC1=CC=CC=C1)C(=O)NC(C)C([O-])=O,-2.19,7.0,25.0
73941,CCC(C)C(NC(=O)C(NC(=O)C([NH3+])CC(C)C)C(C)CC)C([O-])=O,-1.11,7.0,25.0
73942,CC(C)C[C@H](N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(O)=O,-1.57,7.0,25.0
73943,CC(C)C[C@H](N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(O)=O,-0.94,7.0,25.0
73944,CC(C)CC([NH3+])C(=O)NC(CO)C(=O)NC(CC(C)C)C([O-])=O,-2.35,7.0,25.0
73945,CCC(C)C([NH3+])C(=O)NC(CO)C(=O)NC(CC(C)C)C([O-])=O,-2.28,7.0,25.0
73946,CCC(C)C([NH3+])C(=O)NC(CO)C(=O)NC(C(C)CC)C([O-])=O,-2.64,7.0,25.0
73947,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C([NH3+])CO)C([O-])=O,-1.99,7.0,25.0
73948,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C([NH3+])CO)C([O-])=O,-2.03,7.0,25.0
73949,CCC(C)C(NC(=O)C([NH3+])CC(C)C)C(=O)NC(C(C)O)C([O-])=O,-2.14,7.0,25.0
73950,CCC(C)C(NC(=O)C(NC(=O)C([NH3+])CC(C)C)C(C)O)C([O-])=O,-2.3,7.0,25.0
73951,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C([NH3+])C(C)O)C([O-])=O,-1.66,7.0,25.0
73952,CC(C)CC(NC(=O)C(NC(=O)C(N)C(C)O)C(C)C)C(O)=O,-1.97,7.0,25.0
73953,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C1CCC[NH2+]1)C([O-])=O,-1.64,7.0,25.0
73954,CC(C)CC([NH3+])C(=O)N1CCCC1C(=O)NC(CC(C)C)C([O-])=O,-1.56,7.0,25.0
73955,CC(C)CC([NH3+])C(=O)NC(CC(C)C)C(=O)N1CCCC1C([O-])=O,-1.58,7.0,25.0
73956,CCC(C)C(N)C(=O)N1CCCC1C(=O)NC(C(C)CC)C(O)=O,-1.65,7.0,25.0
73957,[NH3+]C(CC1=CC=C(O)C=C1)C(=O)NC(CC1=CC=CC=C1)C([O-])=O,0.54,7.0,25.0
73958,Cl.NCCCCC(N)C(=O)NC(CC1=CC=CC=C1)C(O)=O,0.12,13.0,25.0
73959,NCC(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC1=CN=CN1)C(O)=O,-0.92,10.0,25.0
73960,CC(C)CC(N)C(=O)NC(CC(O)=O)C(=O)NC(CC(C)C)C(O)=O,0.16,2.0,25.0
73961,CCC(C)C(N)C(=O)NC(CC(C)C)C(=O)NC(CC(O)=O)C(O)=O,-0.04,2.0,25.0
78267,N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,-0.27,7.0,25.0
78268,NC(CC1=CNC2=C1C=CC=C2)C(=O)NC(CC1=CC=C(O)C=C1)C(O)=O,-1.13,7.0,25.0
78269,NCC(=O)N[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,-1.33,7.0,25.0
