,smiles,logP
1480,Nc1cc(Cl)ccc1Cl,2.75
1482,Cc1ccc(N)cc1N,0.14
1483,Cc1ccc(N)c(N)c1,0.66
1486,CCCCCC(=O)Nc1ccccc1,3.28
1499,CCCCOC(=O)c1ccccc1O,4.63
1500,ClCC(Br)CBr,2.96
1520,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1.67
1521,c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,4.31
1522,Nc1ccccc1O,0.62
1530,O=[N+]([O-])c1c(O)cccc1O,1.56
1531,Oc1ccc(Nc2ccccc2)cc1,2.82
1533,Nc1ccc(O)cc1,0.04
1534,Nc1cccc(O)c1,0.21
1535,Oc1ccccc1-c1ccccc1,3.09
1537,Cc1ccc(O)cc1C,2.23
1538,c1ccc(-c2ccccn2)nc1,1.5
1539,O=[N+]([O-])c1cccc(O)c1,2.0
1540,O=[N+]([O-])c1ccccc1O,1.79
1545,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,4.45
1554,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,5.12
1557,Oc1ccc(Cl)c(O)c1,1.8
1558,CCCCCCc1ccc(O)cc1O,3.45
1559,Oc1cccc(O)c1,0.8
1560,Oc1cc(O)cc(O)c1,0.16
1561,Oc1ccccc1O,0.88
1579,NC(=O)N/N=C/c1ccccc1,1.27
1604,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,4.22
1689,CC(=O)Nc1ccc(C=O)cc1,1.25
1754,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,3.32
1759,Cc1cccc(C(=O)O)c1O,2.86
1765,O=C(O)/C=C/C=C/c1ccccc1,3.15
1771,Cc1ccccc1N(C)C,2.85
1772,Cc1ccc(N(C)C)cc1,2.81
1775,Cc1cccc(N(C)C)c1,2.8
1790,CCOc1cc(C=O)ccc1O,1.58
1795,CC(C)NC(C)C,1.4
1796,CCOc1ccccc1O,1.68
1840,N#CCCCc1ccccc1,2.21
1844,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,5.17
1845,Oc1ccc(-c2ccccc2)cc1,3.2
1851,OCCOc1ccccc1,1.16
1852,NC(=O)COc1ccccc1,0.76
1863,CC(=O)COc1ccccc1,1.04
1864,NC(=O)Cc1ccccc1,0.45
1870,COc1cc([N+](=O)[O-])c2ncccc2c1,1.87
1874,O=C(c1ccccc1)c1ccc(O)cc1,3.07
1875,CC(C)c1ccc(O)cc1,2.9
1876,Cc1cc(C)c(C)c(C)c1C,4.56
1881,O=C(O)CS,0.09
1894,CC(C)c1ccc(C(=O)O)cc1,3.4
1900,CC1COC(=O)O1,-0.41
1925,S=C1NCCN1,-0.66
1927,CC(=O)C1CC1,0.49
1929,O=c1cc(CO)occ1O,-0.64
1931,OCC(O)C(O)C(O)C(O)CO,-3.1
1951,c1ccc2[nH]ccc2c1,2.14
1952,O=C1c2ccccc2Cc2ccccc21,3.66
1953,O=C(O)c1ccccc1-c1ccccc1C(=O)O,2.07
1966,NC(CC(=O)O)c1ccccc1,-1.4
1968,Nc1cc2ccccc2c2ccccc12,3.56
1979,O=C(c1ccccc1)N1CCCCC1,2.2
1981,N#Cc1ccccc1[N+](=O)[O-],1.02
2000,C=CCCCCCCCCC(=O)O,3.86
2001,C/C(=C\c1ccccc1)[N+](=O)[O-],2.52
2007,N=C(N)c1ccccc1,0.65
2019,Nc1ccc(/N=N/c2ccccc2)cc1,3.41
2024,c1ccc2c(c1)Nc1ccccc1S2,4.15
2026,Oc1cccc2cccnc12,1.85
2029,CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O,6.46
2031,Oc1ccc2ccccc2c1,2.7
2038,ClC(Cl)=Nc1ccccc1,2.54
2053,Cn1c(=O)c2nc[nH]c2n(C)c1=O,-0.02
2054,O=C(O)/C=C/c1ccc([N+](=O)[O-])cc1,2.12
2055,CC1=C(C)C(=O)C(C)=C(C)C1=O,2.23
2056,C(=C/c1ccccc1)\c1ccccc1,4.81
2057,O=C(O)COc1ccc2ccccc2c1,2.53
2061,CCCCCCCN,2.57
2065,O=Cc1ccc(Cl)cc1,2.1
2069,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,2.12
2070,Nc1ccc(C(=O)O)c(O)c1,0.89
2077,CCN1CCCCC1,1.75
2079,O=C(O)CCC(=O)c1ccccc1,1.3
2085,Brc1ccc(-c2ccc(Br)cc2)cc1,5.72
2089,c1ccc(/N=N/c2ccccc2)cc1,3.82
2092,CC(C)OC(=O)Nc1ccccc1,2.6
2096,O=C(O)Cc1ccc(C(=O)O)cc1,1.24
2101,Nc1c(Cl)cc(Cl)cc1Cl,3.52
2107,CC(N)=S,-0.26
2109,NN,-2.07
2110,Cc1cccc(C)c1O,2.36
2114,O=Cc1ccc(O)cc1,1.35
2116,COc1cc(C(=O)O)cc(OC)c1O,1.04
2117,Nc1nc(N)nc(N)n1,-1.37
2122,CC(=O)Nc1ccc(N)cc1,0.08
2123,Oc1c(Br)cc(Br)cc1Br,4.13
2127,CC(=O)N(C)c1ccccc1,1.12
2131,OCCc1ccccn1,0.12
2137,COc1cccc(C=O)c1O,1.37
2138,COc1ccc(CO)cc1,1.1
2142,Cc1cccc(C)n1,1.68
2148,CC(=O)Nc1ccc(I)cc1,2.71
2150,Cc1ccc(C(N)=O)cc1,1.18
2151,CC(O)C(C)O,-0.92
2152,Oc1c(Cl)cc(Cl)cc1Cl,3.69
2156,Cc1ccccc1C(N)=O,0.76
2157,Cc1cccc(C(N)=O)c1,1.18
2164,Cc1cccc(NC(N)=O)c1,1.29
2171,O=C(O)c1ccccc1S,2.39
2172,Cc1ccccc1S(N)(=O)=O,0.84
2176,OCC(Br)(Br)Br,2.1
2179,CCCCCCC(=O)O,2.42
2180,Cc1ccccc1C(=O)O,2.46
2194,COCC(C)OC(C)=O,0.56
2197,CCC(C)c1ccc(O)cc1,3.08
2201,Cc1cccc(C(=O)O)c1,2.37
2202,Cc1ccc(C(=O)O)cc1,2.27
2205,COc1c(Br)cc(Br)cc1Br,4.48
2207,CCCCCC(C)O,2.31
2210,CNS(=O)(=O)c1ccc(C)cc1,1.28
2215,CC1=CC(=O)C(C(C)C)=CC1=O,2.2
2251,Oc1cc(Cl)c(Cl)cc1Cl,3.72
2256,CC(=O)NN,-1.58
2290,O=C1CCCCN1,-0.46
2335,Cc1cc(Cl)ccc1OCC(=O)O,3.25
2343,O=C1CCC(=O)N1c1ccccc1,0.06
2423,CC(=O)c1cccc(O)c1,1.39
2463,CN1CCCCC1,1.3
2529,O=[N+]([O-])/C=C/c1ccc(Cl)cc1,2.44
2555,O=CC(O)C(O)C(O)C(O)CO,-1.88
2562,S=C(Nc1ccccc1)c1ccccc1,3.03
2565,C=CCC#N,0.4
2567,O=[N+]([O-])c1cc(Br)c(O)c(Br)c1,3.57
2568,CCCCC(O)CC,2.24
2570,N#CCCCl,0.18
2572,CCCCCCN,2.06
2578,CCCCCC=O,1.78
2579,CCCCNC(N)=O,0.41
2581,Cc1ccc(C)c(O)c1,2.33
2601,Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1,1.55
2604,c1ccc(Nc2cccc3ccccc23)cc1,4.2
2608,CCCOC(=O)c1cc(O)c(O)c(O)c1,1.8
2610,c1ccc(N2CCOCC2)cc1,1.36
2615,CC(=O)Oc1ccc([N+](=O)[O-])cc1,1.5
2636,O=C(O)C(Cl)Cl,0.92
