,smiles,logP,pH,Temperature
78278,CC(C)C(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)CCCCN)C(O)=O,0.51,13.0,25.0
78279,CCC(C)C(N)C(=O)NC(CC1=CN=CN1)C(=O)NC(C(C)C)C(O)=O,-0.24,10.0,25.0
78280,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)CC(O)=O)C(O)=O,0.4,2.0,25.0
78281,CCC(C)C(NC(=O)C(N)CC(O)=O)C(=O)NC(CC1=CC=CC=C1)C(O)=O,0.61,2.0,25.0
78282,CC(C)CC(NC(=O)C(CC(O)=O)NC(=O)C(N)CC1=CC=CC=C1)C(O)=O,0.39,2.0,25.0
78283,CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)NC(CCC(O)=O)C(O)=O,0.07,2.0,25.0
78842,C[N]1(C)CC[N](C)(C)[Pt]11OC(=O)CC(=O)O1,-1.17,,
78843,C[N]1(C)CC[N](C)(C)[Pt]11OC(=O)C2(CCC2)C(=O)O1,-0.47,,
78844,O=C1CC(=O)O[Pt]2(N[C@@H]3CCCC[C@H]3N2)O1,-1.37,,
78845,O=C1O[Pt]2(N[C@@H]3CCCC[C@H]3N2)OC(=O)C11CCC1,-0.85,,
78846,Cl[Pt](Cl)(NC1CCC1)NC1CCC1,0.09,,
78847,Cl[Pt](Cl)(NC1CCCC1)NC1CCCC1,1.06,,
78848,Cl[Pt](Cl)([N]1=CC=CC=C1)[N]1=CC=CC=C1,-0.04,,
78849,CCCCCNC(=O)C1CN[Pt](Cl)(Cl)N1,-0.04,,
78850,CC(C)NC(=O)C1CN[Pt](Cl)(Cl)N1,-0.46,,
78851,Cl[Pt](Cl)(NC1CCC1)NC1CCC1,0.36,,
78852,Cl[Pt](Cl)(NC1CCCC1)NC1CCCC1,0.81,,
78853,[O-][N+](=O)O[Pt](NC1CCC1)(NC1CCC1)O[N+]([O-])=O,-1.71,,
78854,[O-][N+](=O)O[Pt](NC1CCCC1)(NC1CCCC1)O[N+]([O-])=O,-1.14,,
78855,[O-][N+](=O)O[Pt](NC1CCCCC1)(NC1CCCCC1)O[N+]([O-])=O,-0.91,,
78856,[O-][N+](=O)O[Pt](NC1CCCCCC1)(NC1CCCCCC1)O[N+]([O-])=O,-0.35,,
78857,OCC1=CC=[N](C=C1)[Pt](O[N+]([O-])=O)(O[N+]([O-])=O)[N]1=CC=C(CO)C=C1,-2.13,,
78858,COC(=O)C1=CC=[N](C=C1)[Pt](O[N+]([O-])=O)(O[N+]([O-])=O)[N]1=CC=C(C=C1)C(=O)OC,-1.41,,
78859,[O-][N+](=O)O[Pt](O[N+]([O-])=O)([N]1=CC=CC=C1)[N]1=CC=CC=C1,-1.59,,
78860,CN(C)C1=CC=[N](C=C1)[Pt](O[N+]([O-])=O)(O[N+]([O-])=O)[N]1=CC=C(C=C1)N(C)C,-0.83,,
78861,[O-][N+](=O)O[Pt](O[N+]([O-])=O)([N]1=CC=C(Cl)C=C1)[N]1=CC=C(Cl)C=C1,-1.06,,
78862,Cl[Pt](Cl)([N]1=CC=CC=C1)[N]1=CC=CC=C1,-0.67,,
78863,OS(=O)(=O)C1=CC=CC2=C[N](=CC=C12)[Pt](Cl)(Cl)[N]1=CC=CC=C1,-2.16,,
78864,Cl[Pt]1(Cl)(Cl)(Cl)N[C@H]2CCCC[C@@H]2N1,-1.18,,
78865,Cl[Pt]1(Cl)(Cl)(Cl)NC2CCCCC2N1,-1.17,,
78866,Cl[Pt]1(Cl)(Cl)(Cl)N[C@@H]2CCCC[C@H]2N1,-1.03,,
78867,CC(=O)O[Pt](N)(Cl)(Cl)(NC1CCCCC1)OC(C)=O,-0.16,,
78868,CC(=O)O[Pt](N)(N)(Cl)(Cl)OC(C)=O,-2.2,,
78869,CC(=O)O[Pt]1(Cl)(Cl)(NCCN1)OC(C)=O,-1.88,,
78870,CCO\C(C)=N/[Pt](Cl)(Cl)\N=C(\C)OCC,2.4,,
78871,CC(=O)N[C@H]1CCC(=O)O[Pt]2(N[C@@H]3CCCC[C@H]3N2)OC1=O,-0.903,,
78872,CCC(=O)N[C@H]1CCC(=O)O[Pt]2(N[C@@H]3CCCC[C@@H]3N2)OC1=O,-0.453,,
78873,CC(C)(C)C(=O)N[C@H]1CCC(=O)O[Pt]2(N[C@@H]3CCCC[C@H]3N2)OC1=O,0.179,,
78874,O=C(N[C@H]1CCC(=O)O[Pt]2(N[C@@H]3CCCC[C@H]3N2)OC1=O)OCC1=CC=CC=C1,1.197,,
78875,O=C1N([C@H]2CCC(=O)O[Pt]3(N[C@@H]4CCCC[C@H]4N3)OC2=O)C(=O)C2=C1C=CC=C2,2.067,,
78876,COC1=CC(CC2(CC3=CC(OC)=CC=C3)C(=O)O[Pt]3(N[C@@H]4CCCC[C@H]4N3)OC2=O)=CC=C1,0.544,,
78877,FC1=CC(CC2(CC3=CC(F)=CC=C3)C(=O)O[Pt]3(N[C@@H]4CCCC[C@H]4N3)OC2=O)=CC=C1,0.534,,
78878,FC1=CC=CC=C1CC1(CC2=C(F)C=CC=C2)C(=O)O[Pt]2(N[C@@H]3CCCC[C@H]3N2)OC1=O,0.354,,
78879,O=C1O[Pt]2(N[C@@H]3CCCC[C@H]3N2)OC(=O)C1(CC1=CC=CC=C1)CC1=CC=CC=C1,0.13,,
78880,CCC1(CC2=CC=CC=C2)C(=O)O[Pt]2(N[C@@H]3CCCC[C@H]3N2)OC1=O,-0.18,,
78881,COC1=CC=CC(CC2(C)C(=O)O[Pt]3(N[C@@H]4CCCC[C@H]4N3)OC2=O)=C1,-0.387,,
78882,CC1(CC2=CC=CC=C2)C(=O)O[Pt]2(N[C@@H]3CCCC[C@H]3N2)OC1=O,-0.8859999999999999,,
78883,CC1(C)C(=O)O[Pt]2(N[C@@H]3CCCC[C@H]3N2)OC1=O,-1.523,,
78884,Cl[Pt]1(Cl)(Cl)(Cl)NC2CCCCC2N1,-0.94,,
78885,N[Pt](Cl)(Cl)(Cl)(Cl)NC1CC1,-1.46,,
78886,N[Pt](Cl)(Cl)(Cl)(Cl)NC1CCCCC1,-0.23,,
78887,CC(=O)O[Pt](N)(Cl)(Cl)(NC1CC1)OC(C)=O,-1.62,,
78888,CC(=O)O[Pt](N)(Cl)(Cl)(NC1CCCCC1)OC(C)=O,-0.19,,
78889,N[Pt](O)(O)(Cl)(Cl)NC1CCCCC1,-0.88,,
78890,CC(=O)O[Pt]1(N[C@@H]2CCCC[C@H]2N1)(OC(C)=O)(OC(C)=O)OC(C)=O,-1.59,,
78891,CCC(=O)O[Pt]1(N[C@@H]2CCCC[C@H]2N1)(OC(=O)CC)(OC(=O)CC)OC(=O)CC,0.18,,
78892,CCCC(=O)O[Pt]1(N[C@@H]2CCCC[C@H]2N1)(OC(=O)CCC)(OC(=O)CCC)OC(=O)CCC,1.54,,
78893,CCCCC(=O)O[Pt]1(N[C@@H]2CCCC[C@H]2N1)(OC(=O)CCCC)(OC(=O)CCCC)OC(=O)CCCC,2.54,,
78894,CCCCCC(=O)O[Pt]1(N[C@@H]2CCCC[C@H]2N1)(OC(=O)CCCCC)(OC(=O)CCCCC)OC(=O)CCCCC,3.03,,
78895,CC(=O)O[Pt](N)(Cl)(Cl)(NC1CCCCC1)OC(C)=O,0.1,,
78896,CCCC(=O)O[Pt]12(N[C@@H]3CCCC[C@H]3N1)(OC(=O)CCC)OC(=O)C(=O)O2,0.0,,
78897,CCCCC(=O)O[Pt]12(N[C@@H]3CCCC[C@H]3N1)(OC(=O)CCCC)OC(=O)C(=O)O2,0.934,,
78898,CCCCCC(=O)O[Pt]12(N[C@@H]3CCCC[C@H]3N1)(OC(=O)CCCCC)OC(=O)C(=O)O2,2.0,,
78899,CC(=O)O[Pt](N)(Cl)(Cl)(NC1CCCCC1)OC(C)=O,0.255,,
78900,CCCC(=O)O[Pt](N)(Cl)(Cl)(NC1CCCCC1)OC(=O)CCC,2.146,,
78901,CCCC(=O)O[Pt]123(Cl)N[C@@H]4CCCC[C@H]4N1.O=C(O2)C(=O)O3,-1.252,,
78902,CCCCC(=O)O[Pt]123(Cl)N[C@@H]4CCCC[C@H]4N1.O=C(O2)C(=O)O3,-0.62,,
78903,CCCCCC(=O)O[Pt]123(Cl)N[C@@H]4CCCC[C@H]4N1.O=C(O2)C(=O)O3,-0.076,,
78904,ClC1=CC=C(COC(CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C(Cl)=C1,4.9,,37.0
78905,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,-2.0,,37.0
78906,CO[C@H]1\C=C/O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(=O)C(NC(=O)\C(C)=C/C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1NC3(CCN(CC(C)C)CC3)N=C21,4.5,,37.0
78907,CC(C)N1C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C2=CC=CC=C12)C1=CC=C(F)C=C1,4.17,,25.0
78908,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1,3.96,,25.0
78911,O=N(=O)O[Pt](NC1CCC1)(NC1CCC1)ON(=O)=O,-1.71,,
78912,O=N(=O)O[Pt](NC1CCCC1)(NC1CCCC1)ON(=O)=O,-1.14,,
78913,O=N(=O)O[Pt](NC1CCCCC1)(NC1CCCCC1)ON(=O)=O,-0.91,,
78914,O=N(=O)O[Pt](NC1CCCCCC1)(NC1CCCCCC1)ON(=O)=O,-0.35,,
78915,OCC1=CC=[N](C=C1)[Pt](ON(=O)=O)(ON(=O)=O)[N]1=CC=C(CO)C=C1,-2.13,,
78916,COC(=O)C1=CC=[N](C=C1)[Pt](ON(=O)=O)(ON(=O)=O)[N]1=CC=C(C=C1)C(=O)OC,-1.41,,
78917,O=N(=O)O[Pt](ON(=O)=O)([N]1=CC=CC=C1)[N]1=CC=CC=C1,-1.59,,
78918,CN(C)C1=CC=[N](C=C1)[Pt](ON(=O)=O)(ON(=O)=O)[N]1=CC=C(C=C1)N(C)C,-0.83,,
78919,ClC1=CC=[N](C=C1)[Pt](ON(=O)=O)(ON(=O)=O)[N]1=CC=C(Cl)C=C1,-1.06,,
78920,OCCN1CCN(CCO)[Pt]1(Cl)Cl,-2.136,,
78922,COC1=CC=C2N[Pt](Cl)(Cl)NC2=C1OC,-0.47,,
78924,COC1=CC=C2N[Pt](Cl)(Cl)NC2=C1,-0.57,,
78925,ClC1=CC=C2N[Pt](Cl)(Cl)NC2=C1,0.45,,
78926,Cl[Pt](Cl)(NC1CCCCC1)NC1CCCCC1,0.63,,
78928,Cl[Pt]1(Cl)NC2=CC=C(C=C2N1)N(=O)=O,0.5,,
78929,ClC1=CC=C2N[Pt](Cl)(Cl)NC2=C1Cl,0.56,,
78932,C[N]12CC[N](C)(CC1)[Pt]21OC(=O)CC(=O)O1,-1.47,,
78935,C[N]12CC[N](C)(CC1)[Pt]21OC(=O)C2(CCC2)C(=O)O1,-0.79,,
78937,O=C1CC(=O)O[Pt]2(NC3CCCCC3N2)O1,-1.37,,
78938,O=C1O[Pt]2(NC3CCCCC3N2)OC(=O)C11CCC1,-0.85,,
78944,CCOC1CC(=O)O[Pt]2(NCCN2)OC1=O,-2.63,,
78945,CCN1C=C[N](=C1)[Pt]1(OC(=O)C(O)C(O)C(=O)O1)[N]1=CN(CC)C=C1,-1.1,,
78946,CCN1C=C[N](=C1)[Pt]1(OC(=O)CC(O)C(=O)O1)[N]1=CN(CC)C=C1,-1.24,,
78947,CCCN1C=C[N](=C1)[Pt](Br)(Br)[N]1=CN(CCC)C=C1,0.34,,
78948,CN1C=[N](C=C1Br)[Pt](Cl)(Cl)[N]1=CN(C)C(Br)=C1,-0.08,,
78949,CCCN1C=C[N](=C1)[Pt](I)(I)[N]1=CN(CCC)C=C1,0.52,,
78950,CCCN1C=C[N](=C1)[Pt]1(OC(=O)C(O)C(O)C(=O)O1)[N]1=CN(CCC)C=C1,-0.82,,
78951,CN1C=[N](C=C1N(=O)=O)[Pt](Cl)(Cl)[N]1=CN(C)C(=C1)N(=O)=O,-0.49,,
78952,CN1C=[N](C=C1N(=O)=O)[Pt](I)(I)[N]1=CN(C)C(=C1)N(=O)=O,0.95,,
78953,CN1C(C)=[N](C=C1N(=O)=O)[Pt](Cl)(Cl)[N]1=C(C)N(C)C(=C1)N(=O)=O,-0.33,,
79120,Cl[Pt](Cl)([N]1=CC=CC=C1)[N]1=CC=CC=C1,-0.48,,
79121,CCO\C(C)=N/[Pt](Cl)(Cl)\N=C(\C)OCC,29.0,,
79122,COC1=CC2=C(N[Pt](Cl)(Cl)N2)C=C1OC,-0.47,,
79123,COC1=CC2=C(N[Pt](Cl)(Cl)N2)C=C1,-0.57,,
79124,ClC1=CC2=C(N[Pt](Cl)(Cl)N2)C=C1,0.45,,
79125,[O-][N+](=O)C1=CC2=C(N[Pt](Cl)(Cl)N2)C=C1,0.5,,
79126,ClC1=CC2=C(N[Pt](Cl)(Cl)N2)C=C1Cl,0.56,,
79127,CCCCCCC(=O)O[Pt]123(Cl)N[C@@H]4CCCC[C@H]4N1.O=C(O2)C(=O)O3,2.7,,
79128,CCCCCC(=O)O[Pt]123(Cl)N[C@@H]4CCCC[C@H]4N1.O=C(O2)C(=O)O3,0.84,,
79129,CCCCC(=O)O[Pt]123(Cl)N[C@@H]4CCCC[C@H]4N1.O=C(O2)C(=O)O3,0.24,,
82262,CC1CC[C@H]2N[Pt]3(N[C@@H]2C1)OC(=O)C(=O)O3,-1.28,,
82263,O=C1O[Pt]2(N[C@@H]3CCC(C[C@H]3N2)C2=CC=CC=C2)OC1=O,-0.28,,
82264,CC1C[C@H]2N[Pt]3(N[C@@H]2CC1C)OC(=O)C(=O)O3,-0.64,,
82265,CCCC1CC[C@H]2N[Pt]3(N[C@@H]2C1)OC(=O)C(=O)O3,0.17,,
82266,CCC1CC[C@H]2N[Pt]3(N[C@@H]2C1)OC(=O)C(=O)O3,-0.47,,
82267,CC(C)(C)C1CC[C@H]2N[Pt]3(N[C@@H]2C1)OC(=O)C(=O)O3,0.33,,
82268,CC(C)(C)C1CC[C@H]2N[Pt]3(N[C@@H]2C1)OC(=O)C(=O)O3,0.42,,
82269,CC(C)C1O[C@@H]2CN[Pt]3(NC[C@H]2O1)OC(=O)C1=CC(I)=CC(I)=C1O3,3.3,,
82270,CC(C)C1O[C@@H]2CN[Pt]3(NC[C@H]2O1)OC(=O)C1=C(C)C=CC(C(C)C)=C1O3,3.4,,
82271,IC1=CC(I)=C2O[Pt]3(N[C@@H]4CCCC[C@H]4N3)OC(=O)C2=C1,3.1,,
82272,CC(C)C1=C2O[Pt]3(N[C@@H]4CCCC[C@H]4N3)OC(=O)C2=C(C)C=C1,4.3,,
82273,CC(=O)O[Pt]1(O)(N[C@@H]2CCCC[C@H]2N1)(OC(C)=O)OC(C)=O,-0.503,,
82274,CCC(=O)O[Pt]1(O)(N[C@@H]2CCCC[C@H]2N1)(OC(=O)CC)OC(=O)CC,-0.417,,
82275,CCC(=O)O[Pt]1(N[C@@H]2CCCC[C@H]2N1)(OC(C)=O)(OC(C)=O)OC(C)=O,-0.34700000000000003,,
82276,CCCCC(=O)O[Pt]1(N[C@@H]2CCCC[C@H]2N1)(OC(C)=O)(OC(C)=O)OC(C)=O,0.151,,
82277,CC(=O)O[Pt]1(N[C@@H]2CCCC[C@H]2N1)(OC(C)=O)(OC(C)=O)OC(=O)C(C)(C)C,0.049,,
82278,CC(=O)O[Pt]1(N[C@@H]2CCCC[C@H]2N1)(OC(C)=O)(OC(=O)C(F)(F)F)OC(=O)C(F)(F)F,0.158,,
82279,CCC(=O)O[Pt]1(N[C@@H]2CCCC[C@H]2N1)(OC(C)=O)(OC(=O)CC)OC(=O)CC,-0.341,,
82280,CCCCC(=O)O[Pt]1(N[C@@H]2CCCC[C@H]2N1)(OC(=O)CC)(OC(=O)CC)OC(=O)CC,1.243,,
82281,CCC(=O)O[Pt]1(N[C@@H]2CCCC[C@H]2N1)(OC(=O)CC)(OC(=O)CC)OC(=O)C(C)(C)C,1.213,,
82282,CCC(=O)O[Pt]1(N[C@@H]2CCCC[C@H]2N1)(OC(=O)CC)(OC(=O)C(F)(F)F)OC(=O)C(F)(F)F,1.249,,
82284,CCCCCCCCN1CCN[Pt]1(Cl)Cl,0.4,,
82285,CCCCCCCCCCN1CCN[Pt]1(Cl)Cl,1.31,,
82286,CCCCCCCCCCCCN1CCN[Pt]1(Cl)Cl,1.54,,
82287,CCCCCCCCCCCCCCN1CCN[Pt]1(Cl)Cl,1.56,,
82292,CCCCCCCCN1CCCN[Pt]1(Cl)Cl,2.21,,
82293,CCCCCCCCCCN1CCCN[Pt]1(Cl)Cl,20.05,,
82294,CCCCCCCCCCCCN1CCCN[Pt]1(Cl)Cl,33.71,,
82295,CCCCCCCCCCCCCCN1CCCN[Pt]1(Cl)Cl,46.42,,
82296,CC(=O)O[Pt](N)(N)(Cl)(Cl)OC(C)=O,-1.91,,
82297,N[Pt](N)(Cl)(Cl)(OC(=O)C(F)(F)F)OC(=O)C(F)(F)F,-1.17,,
82298,CCC(=O)O[Pt](N)(N)(Cl)(Cl)OC(=O)CC,-1.6,,
82299,CCCC(=O)O[Pt](N)(N)(Cl)(Cl)OC(=O)CCC,-0.91,,
82300,CCCCC(=O)O[Pt](N)(N)(Cl)(Cl)OC(=O)CCCC,-0.11,,
82301,CCCCCC(=O)O[Pt](N)(N)(Cl)(Cl)OC(=O)CCCCC,0.82,,
82302,CCCCCCC(=O)O[Pt](N)(N)(Cl)(Cl)OC(=O)CCCCCC,1.8,,
82303,N[Pt](N)(Cl)(Cl)(OC(=O)CCC(O)=O)OC(=O)CCC(O)=O,-1.84,,
82304,CC(=O)O[Pt]1(N)(N)(OC(C)=O)OCC(=O)O1,-1.91,,
82305,N[Pt]1(N)(OC(=O)C(F)(F)F)(OC(=O)C(F)(F)F)OCC(=O)O1,-1.49,,
82306,CCC(=O)O[Pt]1(N)(N)(OC(=O)CC)OCC(=O)O1,-1.63,,
82307,CCCCCC(=O)O[Pt]1(N)(N)(OC(=O)CCCCC)OCC(=O)O1,0.34,,
82308,N[Pt]1(N)(OC(=O)CCC(O)=O)(OC(=O)CCC(O)=O)OCC(=O)O1,-1.8,,
82309,CC(=O)O[Pt]1(Cl)(Cl)(N[C@@H]2CCCC[C@H]2N1)OC(C)=O,-1.14,,
82310,CCCC(=O)O[Pt]1(Cl)(Cl)(N[C@@H]2CCCC[C@H]2N1)OC(=O)CCC,0.09,,
82311,CCCCCCC(=O)O[Pt]1(Cl)(Cl)(N[C@@H]2CCCC[C@H]2N1)OC(=O)CCCCCC,2.58,,
82312,CC(=O)O[Pt]1(Cl)(Cl)(NCCN1)OC(C)=O,-1.76,,
82313,CC(=O)O[Pt](N)(Cl)(Cl)(NC1CCCCC1)OC(C)=O,-0.21,,
82314,CCCCC(=O)O[Pt](N)(Cl)(Cl)(NC1CCCCC1)OC(=O)CCCC,2.1,,
82315,CCCCCCC(=O)O[Pt](N)(Cl)(Cl)(NC1CCCCC1)OC(=O)CCCCCC,4.1,,
82316,CC(=O)O[Pt](N)(N)(Cl)(Cl)OC(C)=O,-1.905,,
82317,N[Pt](N)(Cl)(Cl)(OC(=O)C(F)(F)F)OC(=O)C(F)(F)F,-1.102,,
82318,CCC(=O)O[Pt](N)(N)(Cl)(Cl)OC(=O)CC,-1.584,,
82319,CCCC(=O)O[Pt](N)(N)(Cl)(Cl)OC(=O)CCC,-0.856,,
82320,CCCCC(=O)O[Pt](N)(N)(Cl)(Cl)OC(=O)CCCC,-0.047,,
82321,CCCCCC(=O)O[Pt](N)(N)(Cl)(Cl)OC(=O)CCCCC,0.902,,
82322,CCCCCCC(=O)O[Pt](N)(N)(Cl)(Cl)OC(=O)CCCCCC,1.897,,
82323,N[Pt](N)(Cl)(Cl)(OC(=O)CCC(O)=O)OC(=O)CCC(O)=O,-1.858,,
82324,CC(=O)O[Pt]1(N)(N)(OC(C)=O)OCC(=O)O1,-1.93,,
82325,N[Pt]1(N)(OC(=O)C(F)(F)F)(OC(=O)C(F)(F)F)OCC(=O)O1,-1.431,,
82326,CCC(=O)O[Pt]1(N)(N)(OC(=O)CC)OCC(=O)O1,-1.638,,
82327,CCCC(=O)O[Pt]1(N)(N)(OC(=O)CCC)OCC(=O)O1,-1.0759999999999998,,
82328,CCCCC(=O)O[Pt]1(N)(N)(OC(=O)CCCC)OCC(=O)O1,-0.381,,
82329,CCCCCC(=O)O[Pt]1(N)(N)(OC(=O)CCCCC)OCC(=O)O1,0.397,,
82330,CCCCCCC(=O)O[Pt]1(N)(N)(OC(=O)CCCCCC)OCC(=O)O1,1.359,,
82331,N[Pt]1(N)(OC(=O)CCC(O)=O)(OC(=O)CCC(O)=O)OCC(=O)O1,-1.743,,
82332,Cl[Pt]1(Cl)(Cl)(Cl)N[C@@H]2CCCC[C@H]2N1,-1.514,,
82333,CC(=O)O[Pt]1(Cl)(Cl)(N[C@@H]2CCCC[C@H]2N1)OC(C)=O,-1.144,,
82334,CCCC(=O)O[Pt]1(Cl)(Cl)(N[C@@H]2CCCC[C@H]2N1)OC(=O)CCC,0.153,,
82335,CCCCCCC(=O)O[Pt]1(Cl)(Cl)(N[C@@H]2CCCC[C@H]2N1)OC(=O)CCCCCC,2.594,,
82336,CCCC(=O)O[Pt]1(N[C@@H]2CCCC[C@H]2N1)(OC(=O)CCC)(OC(=O)CCC)OC(=O)CCC,1.5930000000000002,,
82337,CC(=O)O[Pt]1(Cl)(Cl)(NCCN1)OC(C)=O,-1.783,,
82338,N[Pt](Cl)(Cl)(Cl)(Cl)NC1CCCCC1,-0.345,,
82339,CC(=O)O[Pt](N)(Cl)(Cl)(NC1CCCCC1)OC(C)=O,-0.141,,
82340,CCCCC(=O)O[Pt](N)(Cl)(Cl)(NC1CCCCC1)OC(=O)CCCC,2.166,,
82341,CCCCCCC(=O)O[Pt](N)(Cl)(Cl)(NC1CCCCC1)OC(=O)CCCCCC,4.049,,
82342,CCC(=O)O[Pt]1(Cl)(Cl)(N[C@@H]2CCCC[C@H]2N1)OC(=O)CC,-0.14,,
82343,CCCCC(=O)O[Pt]1(Cl)(Cl)(N[C@@H]2CCCC[C@H]2N1)OC(=O)CCCC,1.492,,
82344,CCCCCC(=O)O[Pt]1(Cl)(Cl)(N[C@@H]2CCCC[C@H]2N1)OC(=O)CCCCC,1.924,,
82361,CCN[Pt](Cl)(Cl)(NCC)(OC(=O)CCC(=O)OC)OC(=O)CCC(=O)OC,-0.12,,
82362,CCN[Pt](Cl)(Cl)(NCC)(OC(=O)CCC(=O)NC1CCCC1)OC(=O)CCC(=O)NC1CCCC1,1.21,,
82363,CCCOC(=O)CCC(=O)O[Pt](Cl)(Cl)(NCC)(NCC)OC(=O)CCC(=O)OCCC,1.44,,
82364,CCN[Pt](Cl)(Cl)(NCC)(OC(=O)CCC(=O)OCC)OC(=O)CCC(=O)OCC,0.64,,
82365,CCN[Pt](Cl)(Cl)(NCC)(OC(=O)CCC(O)=O)OC(=O)CCC(O)=O,-0.7,,
82366,CCN[Pt](Cl)(Cl)(NCC)(OC(=O)CCC(=O)OC(C)C)OC(=O)CCC(=O)OC(C)C,1.3,,
82367,N[Pt](N)(O)(Cl)(Cl)OC(=O)C1=CC=CC=C1,-0.71,,
82368,COC1=CC=C(C=C1)C(=O)O[Pt](N)(N)(O)(Cl)Cl,-0.59,,
82369,CN(C)C1=CC(=CC=C1)C(=O)O[Pt](N)(N)(O)(Cl)Cl,-1.03,,
82370,N[Pt](N)(O)(Cl)(Cl)OC(=O)C1=CC=CC2=C1C(=CC=C2)C(O)=O,-1.32,,
82371,CC(=O)O[Pt](N)(N)(Cl)(Cl)OC(=O)C1=CC=CC=C1,-0.23,,
82372,N[Pt](N)(Cl)(Cl)(OC(=O)CCCC(O)=O)OC(=O)C1=CC=CC=C1,-0.46,,
82373,N[Pt](N)(Cl)(Cl)(OC(=O)C1=CC=CC=C1)OC(=O)C1=CC=CC=C1C(O)=O,0.25,,
82375,CC(=O)O[Pt](N)(N)(Cl)(Cl)OC(C)=O,-2.18,,
82376,COC(=O)CCC(=O)O[Pt]1(Cl)(Cl)(NCCN1)OC(=O)CCC(=O)OC,-0.81,,
82377,CCOC(=O)CCC(=O)O[Pt]1(Cl)(Cl)(NCCN1)OC(=O)CCC(=O)OCC,-0.32,,
82378,CCCOC(=O)CCC(=O)O[Pt]1(Cl)(Cl)(NCCN1)OC(=O)CCC(=O)OCCC,0.7,,
82379,CCCCOC(=O)CCC(=O)O[Pt]1(Cl)(Cl)(NCCN1)OC(=O)CCC(=O)OCCCC,1.69,,
82380,OCCNC(=O)CCC(=O)O[Pt]1(Cl)(Cl)(NCCN1)OC(=O)CCC(=O)NCCO,-1.45,,
82381,CCCNC(=O)CCC(=O)O[Pt]1(Cl)(Cl)(NCCN1)OC(=O)CCC(=O)NCCC,-0.43,,
82382,Cl[Pt]1(Cl)(NCCN1)(OC(=O)CCC(=O)NC1CCCC1)OC(=O)CCC(=O)NC1CCCC1,0.61,,
82383,CCOC(=O)CCCC(=O)O[Pt]1(Cl)(Cl)(NCCN1)OC(=O)CCCC(=O)OCC,0.24,,
82384,FC1=CC=C(C=C1)C1N[Pt](Cl)(Cl)NC1C1=CC=C(F)C=C1,1.03,,
82386,FC1=CC=C(C=C1)C1CN[Pt](Cl)(Cl)N1,-0.13,,
82387,CC1N[Pt](Cl)(Cl)NC1C1=CC=C(F)C=C1,-0.07,,
82389,OCC1N[Pt](Cl)(Cl)NC1C1=CC=C(F)C=C1,-0.42,,
82390,OCC1N[Pt](Cl)(Cl)NC1C1=CC=C(F)C=C1,-0.39,,
82391,OCCC1N[Pt](Cl)(Cl)NC1C1=CC=C(F)C=C1,-0.45,,
82392,OCCC1N[Pt](Cl)(Cl)NC1C1=CC=C(F)C=C1,-0.29,,
82393,CCNC(=O)O[Pt](N)(N)(Cl)(Cl)OC(=O)CCC(O)=O,-1.72,,
82394,CCCCCCNC(=O)O[Pt](N)(N)(Cl)(Cl)OC(=O)CCC(O)=O,-1.21,,
82395,CCCCCCCCNC(=O)O[Pt](N)(N)(Cl)(Cl)OC(=O)CCC(O)=O,-0.83,,
82397,CCCCCCCCCCCCCCCCNC(=O)O[Pt](N)(N)(Cl)(Cl)OC(=O)CCC(O)=O,1.23,,
82398,IC1=CC(I)=C2O[Pt]3(N[C@@H]4CCCC[C@H]4N3)OC(=O)C2=C1,3.3,,
82399,CC(C)C1O[C@@H]2CN[Pt]3(NC[C@H]2O1)OC(=O)C1=CC(I)=CC(I)=C1O3,3.1,,
82400,CC(C)C1=C2C(=O)O[Pt]3(N[C@@H]4CCCC[C@H]4N3)OC2=C(C)C=C1,3.4,,
82401,CC(C)C1O[C@@H]2CN[Pt]3(NC[C@H]2O1)OC(=O)C1=C(C=CC(C)=C1O3)C(C)C,4.3,,
82402,CC(C)C1=CC(C(C)C)=C2O[Pt](N)(N)OC(=O)C2=C1,4.1,,
82403,CC(C)C1=CC(C(C)C)=C2O[Pt]3(N[C@@H]4CCCC[C@H]4N3)OC(=O)C2=C1,4.4,,
82404,CC(C)C1O[C@@H]2CN[Pt]3(NC[C@H]2O1)OC(=O)C1=CC(=CC(C(C)C)=C1O3)C(C)C,4.3,,
82459,O=C1CC(=O)O[Pt](O1)([N]1=CC=CC=C1)[N]1=CC=CC=C1,-1.17,,
