,smiles,logP,pH,Temperature
98,NC1=CC=C(C=C1)C1=NC2=CC=CC=C2S1,2.0,7.2,
99,CC1=CC2=C(C=C1)N=C(S2)C1=CC=C(N)C=C1,2.4,7.2,
100,COC1=CC2=C(C=C1)N=C(S2)C1=CC=C(N)C=C1,1.9,7.2,
101,NC1=CC=C(C=C1)C1=NC2=C(S1)C=C(O)C=C2,0.66,7.2,
102,NC1=CC=C(C=C1)C1=NC2=C(S1)C=C(C=C2)C#N,1.8,7.2,
103,NC1=CC=C(C=C1)C1=NC2=C(S1)C=C(Br)C=C2,2.9,7.2,
104,CNC1=CC=C(C=C1)C1=NC2=CC=C(C)C=C2S1,3.1,7.2,
105,CNC1=CC=C(C=C1)C1=NC2=C(S1)C=C(OC)C=C2,2.6,7.2,
106,CNC1=CC=C(C=C1)C1=NC2=C(S1)C=C(O)C=C2,1.2,7.2,
107,CNC1=CC=C(C=C1)C1=NC2=C(S1)C=C(C=C2)C#N,2.5,7.2,
108,CNC1=CC=C(C=C1)C1=NC2=C(S1)C=C(Br)C=C2,3.6,7.2,
109,CN(C)C1=CC=C(C=C1)C1=NC2=C(S1)C=CC=C2,3.4,7.2,
110,CN(C)C1=CC=C(C=C1)C1=NC2=C(S1)C=C(C)C=C2,3.8,7.2,
111,COC1=CC2=C(C=C1)N=C(S2)C1=CC=C(C=C1)N(C)C,3.3,7.2,
112,CN(C)C1=CC=C(C=C1)C1=NC2=C(S1)C=C(O)C=C2,2.0,7.2,
113,CN(C)C1=CC=C(C=C1)C1=NC2=C(S1)C=C(C=C2)C#N,3.2,7.2,
114,CN(C)C1=CC=C(C=C1)C1=NC2=C(S1)C=C(Br)C=C2,4.4,7.2,
115,OC1=C2NC(=O)SC2=C(CCNCCCCCCOCCC2=CC=CC=C2)C=C1,2.73,7.4,
116,OC1=C2NC(=O)SC2=C(CCNCCCCCC(=O)NCCC2=CC=CC=C2)C=C1,1.29,7.4,
117,OC1=C2NC(=O)SC2=C(CCNCCCCCCNC(=O)NC2=CC=CC=C2)C=C1,1.26,7.4,
118,OC1=C2NC(=O)SC2=C(CCNCCCCCCS(=O)(=O)CCC2=CC=CC=C2)C=C1,1.44,7.4,
119,OC1=C2NC(=O)SC2=C(CCNCCCSCCOCCC2=CC=CC=C2)C=C1,2.31,7.4,
120,OC1=C2NC(=O)SC2=C(CCNCCCCCCNCC(F)(F)C2=CC=CC=C2)C=C1,1.57,7.4,
121,OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCOCCC2=CC=CC=C2)C=C1,1.37,7.4,
122,OC1=C2NC(=O)SC2=C(CCNCCCOCCOCCC2=CC=CC=C2)C=C1,1.19,7.4,
123,OC1=C2NC(=O)SC2=C(CCNCCOCCCOCCC2=CC=CC=C2)C=C1,2.06,7.4,
124,OC1=C2NC(=O)SC2=C(CCNCCNC(=O)CCOCCC2=CC=CC=C2)C=C1,1.34,7.4,
125,OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=CC=CC=C2)C=C1,2.51,7.4,
126,OC1=C2NC(=O)SC2=C(CCNCCNCCCOCCC2=CC=CC=C2)C=C1,0.88,7.4,
127,OC1=C2NC(=O)SC2=C(CCNCCC(F)(F)CCCOCCC2=CC=CC=C2)C=C1,3.26,7.4,
128,OC1=C2NC(=O)SC2=C(CCNCCSCCCOCCC2=CC=CC=C2)C=C1,2.86,7.4,
129,OC1=C2NC(=O)SC2=C(CCNCCNS(=O)(=O)CCOCCC2=CC=CC=C2)C=C1,1.56,7.4,
130,CC(C)(CNCCC1=C2SC(=O)NC2=C(O)C=C1)CSCCOCCC1=C(N)C=CC=C1,3.44,7.4,
131,NC1=C(CCOCCS(=O)(=O)CCCNCCC2=C3SC(=O)NC3=C(O)C=C2)C=CC=C1,1.17,7.4,
132,OC1=C2NC(=O)SC2=C(CCNCCNC(=O)CCCOCCC2=CC=CC=C2)C=C1,1.55,7.4,
133,OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCOCCC2=CC=CC=C2N(=O)=O)C=C1,1.37,7.4,
134,OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCNCCOC2=CC=CC=C2)C=C1,0.9,7.4,
135,OC1=C2NC(=O)SC2=C(CCNCCCSCCOCC2=CC=CC=N2)C=C1,0.83,7.4,
136,OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=NC=CS2)C=C1,2.35,7.4,
137,OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=CC=C(F)C=C2)C=C1,2.67,7.4,
138,OC1=C2NC(=O)SC2=C(CCNCCNC(=O)CCOCCCC2=CC=CC=C2)C=C1,1.91,7.4,
139,OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCCOCCC2=CC=CC=C2)C=C1,1.65,7.4,
140,OC1=C2NC(=O)SC2=C(CCNCCSCCCOCCC2=CC=C(C=C2)N(=O)=O)C=C1,3.29,7.4,
141,OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=CC=C(C=C2)N(=O)=O)C=C1,2.32,7.4,
142,OC1=C2NC(=O)SC2=C(CCNCCSCCCOCCC2=CC=CC=N2)C=C1,1.75,7.4,
143,OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCOCCC2=C3C=CC=CC3=CC=C2)C=C1,2.54,7.4,
144,CN(CCNCCC1=C2SC(=O)NC2=C(O)C=C1)C(=O)CCOCCC1=CC=CC=C1,1.52,7.4,
145,OC1=C2NC(=O)SC2=C(CCNCCCSCCOCCOC2=CC=CC=C2)C=C1,2.11,7.4,
146,OC1=CC=C(CCNCCCS(=O)(=O)CCOCCOC2=CC=CC=C2)C2=C1NC(=O)S2,1.13,7.4,
147,OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=CC=CC=N2)C=C1,0.95,7.4,
148,OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=CC=C(Br)C=C2)C=C1,3.36,7.4,
149,OC1=C2NC(=O)SC2=C(CCNCCSCCCOCCC2=CC=C(NS(=O)(=O)C3=CC=CC=C3)C=C2)C=C1,3.52,7.4,
150,OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)NCCOCCC2=CC=CC=C2)C=C1,2.38,7.4,
151,OC1=C2NC(=O)SC2=C(CCNCCCSCCOCCCC2=CC=CC=C2)C=C1,2.8,7.4,
152,OC1=C2NC(=O)SC2=C(CCNCCSCCCOCCCC2=CC=CC=C2)C=C1,3.61,7.4,
153,OC1=C2NC(=O)SC2=C(CCNCCCS(=O)CCOCCC2=CC=CC=C2)C=C1,1.12,7.4,
154,OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCOCCCC2=CC=CC=C2)C=C1,2.1,7.4,
155,OC1=C2NC(=O)SC2=C(CCNCCCOCCSCCC2=CC=CC=C2)C=C1,1.73,7.4,
156,OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=CC=C(NS(=O)(=O)C3=CC=CC=C3)C=C2)C=C1,2.88,7.4,
157,OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCCCC2=CC=CC=C2)C=C1,3.62,7.4,
158,OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCCC2=CC=CC=C2)C=C1,3.13,7.4,
159,OC1=CC=C(CCOCCCS(=O)(=O)CCNCCC2=C3SC(=O)NC3=C(O)C=C2)C=C1,1.91,7.4,
